,lead
0,614
1,329
2,673
3,547
4,684
5,315
6,417
7,811
8,425
9,664
10,585
11,236
12,806
13,852
14,775
15,141
16,252
17,815
18,303
19,742
20,828
21,492
22,150
23,763
24,178
25,536
26,974
27,377
28,276
29,370
30,212
31,349
32,203
33,574
34,730
35,871
36,881
37,561
38,314
39,430
40,269
41,764
42,189
43,476
44,517
45,390
46,947
47,347
48,190
49,382
50,194
51,883
52,285
53,798
54,854
55,859
56,154
57,918
58,950
59,925
60,101
61,979
62,344
63,406
64,997
65,907
66,928
67,393
68,142
69,342
70,992
71,703
72,609
73,862
74,592
75,842
76,553
77,721
78,395
79,978
80,984
81,441
82,834
83,799
84,824
85,646
86,889
87,272
88,540
89,299
90,577
91,896
92,173
93,340
94,678
95,841
96,125
97,982
98,975
99,845
100,915
101,897
102,701
103,462
104,887
105,922
106,427
107,470
108,371
109,251
110,179
111,814
112,973
113,693
114,546
115,781
116,796
117,661
118,527
119,162
120,357
121,525
122,309
123,227
124,234
125,367
126,537
127,468
128,886
129,538
130,695
131,611
132,943
133,659
134,373
135,172
136,964
137,856
138,333
139,919
140,981
141,137
142,613
143,589
144,343
145,132
146,905
147,139
148,106
149,993
150,773
151,769
152,873
153,669
154,633
155,989
156,903
157,709
158,608
159,904
160,461
161,124
162,617
163,772
164,196
165,780
166,610
167,945
168,112
169,588
170,985
171,642
172,749
173,893
174,607
175,655
176,616
177,757
178,558
179,451
180,541
181,207
182,755
183,111
184,506
185,626
186,248
187,110
188,359
189,369
190,351
191,519
192,770
193,324
194,443
195,498
196,944
197,584
198,860
199,713
200,900
201,733
202,188
203,654
204,666
205,209
206,484
207,362
208,218
209,884
210,360
211,246
212,297
213,686
214,458
215,244
216,823
217,435
218,630
219,628
220,292
221,732
222,768
223,255
224,475
225,949
226,924
227,113
228,185
229,128
230,479
231,415
232,346
233,146
234,891
235,717
236,754
237,640
238,522
239,180
240,853
241,736
242,986
243,710
244,752
245,521
246,555
247,933
248,412
249,600
250,372
251,317
252,680
253,323
254,690
255,621
256,637
257,747
258,494
259,554
260,511
261,204
262,116
263,567
264,996
265,222
266,879
267,638
268,660
269,175
270,254
271,230
272,793
273,176
274,643
275,699
276,520
277,667
278,287
279,877
280,988
281,114
282,392
283,117
284,201
285,803
286,513
287,445
288,560
289,518
290,866
291,562
292,874
293,774
294,402
295,591
296,812
297,753
298,149
299,232
300,508
301,306
302,123
303,497
304,987
305,826
306,801
307,941
308,465
309,776
310,779
311,356
312,551
313,526
314,573
315,808
316,312
317,231
318,239
319,466
320,100
321,364
322,932
323,650
324,301
325,456
326,480
327,331
328,725
329,524
330,599
331,865
332,956
333,636
334,631
335,436
336,221
337,198
338,439
339,715
340,622
341,916
342,681
343,807
344,155
345,391
346,452
347,805
348,368
349,120
350,416
351,809
352,706
353,565
354,277
355,127
356,679
357,652
358,187
359,564
360,549
361,431
362,157
363,663
364,722
365,785
366,729
367,830
368,999
369,208
370,266
371,264
372,778
373,504
374,528
375,293
376,215
377,851
378,682
379,619
380,651
381,530
382,983
383,311
384,818
385,184
386,691
387,882
388,225
389,134
390,965
391,169
392,995
393,783
394,777
395,792
396,657
397,298
398,213
399,328
400,888
401,583
402,447
403,286
404,723
405,890
406,810
407,490
408,902
409,707
410,579
411,844
412,220
413,590
414,348
415,580
416,330
417,948
418,931
419,848
420,394
421,374
422,449
423,273
424,972
425,708
426,410
427,548
428,827
429,455
430,216
431,148
432,224
433,413
434,971
435,491
436,214
437,481
438,958
439,247
440,424
441,910
442,147
443,202
444,937
445,422
446,380
447,502
448,308
449,951
450,748
451,670
452,899
453,534
454,726
455,724
456,177
457,627
458,832
459,335
460,262
461,712
462,487
463,152
464,596
465,980
466,942
467,929
468,310
469,959
470,429
471,288
472,341
473,696
474,515
475,407
476,568
477,271
478,635
479,423
480,967
481,876
482,199
483,263
484,934
485,581
486,677
487,634
488,195
489,129
490,245
491,115
492,597
493,864
494,305
495,954
496,499
497,991
498,761
499,639
