,lead
0,782
1,689
2,548
3,440
4,949
5,877
6,157
7,455
8,310
9,651
10,118
11,405
12,926
13,141
14,823
15,613
16,529
17,585
18,341
19,476
20,155
21,530
22,162
23,809
24,168
25,480
26,781
27,961
28,653
29,649
30,825
31,531
32,662
33,448
34,931
35,979
36,327
37,665
38,112
39,256
40,659
41,451
42,691
43,253
44,880
45,716
46,999
47,246
48,731
49,642
50,514
51,569
52,349
53,275
54,192
55,259
56,580
57,995
58,263
59,754
60,953
61,171
62,479
63,438
64,737
65,854
66,500
67,566
68,795
69,539
70,990
71,860
72,888
73,265
74,709
75,617
76,714
77,146
78,680
79,843
80,582
81,983
82,565
83,630
84,727
85,409
86,816
87,616
88,120
89,998
90,767
91,719
92,912
93,611
94,903
95,268
96,105
97,819
98,525
99,482
100,826
101,554
102,501
103,633
104,321
105,626
106,672
107,789
108,603
109,302
110,493
111,460
112,889
113,794
114,608
115,324
116,841
117,516
118,713
119,175
120,734
121,827
122,772
123,182
124,682
125,124
126,724
127,973
128,152
129,592
130,650
131,684
132,812
133,730
134,575
135,205
136,496
137,729
138,573
139,965
140,287
141,818
142,664
143,980
144,243
145,309
146,743
147,194
148,198
149,208
150,604
151,374
152,750
153,225
154,908
155,879
156,635
157,609
158,788
159,193
160,145
161,348
162,421
163,290
164,233
165,474
166,115
167,369
168,103
169,373
170,235
171,837
172,929
173,463
174,388
175,636
176,354
177,423
178,938
179,940
180,656
181,215
182,975
183,382
184,117
185,343
186,126
187,439
188,733
189,542
190,223
191,434
192,891
193,874
194,545
195,128
196,917
197,540
198,513
199,850
200,560
201,621
202,858
203,389
204,811
205,645
206,859
207,959
208,384
209,328
210,840
211,216
212,279
213,717
214,129
215,304
216,757
217,745
218,677
219,845
220,270
221,502
222,481
223,122
224,408
225,521
226,163
227,622
228,658
229,471
230,311
231,612
232,176
233,495
234,694
235,470
236,357
237,106
238,865
239,736
240,428
241,184
242,220
243,397
244,459
245,706
246,778
247,298
248,884
249,280
250,173
251,456
252,784
253,807
254,810
255,284
256,494
257,758
258,209
259,532
260,868
261,982
262,524
263,486
264,133
265,833
266,815
267,839
268,231
269,350
