,lead
0,404
1,860
2,907
3,708
4,181
5,163
6,986
7,373
8,138
9,849
10,454
11,361
12,495
13,145
14,895
15,429
16,348
17,267
18,275
19,565
20,732
21,839
22,534
23,327
24,689
25,670
26,401
27,302
28,789
29,530
30,289
31,648
32,358
33,262
34,685
35,392
36,324
37,101
38,407
39,665
40,232
41,650
42,959
43,323
44,987
45,749
46,315
47,553
48,705
49,498
50,916
51,537
52,127
53,681
54,229
55,134
56,661
57,209
58,364
59,144
60,845
61,243
62,822
63,143
64,890
65,414
66,268
67,317
68,192
69,265
70,307
71,854
72,963
73,558
74,393
75,440
76,456
77,199
78,400
79,932
80,644
81,799
82,175
83,245
84,415
85,410
86,112
87,612
88,983
89,255
90,292
91,316
92,610
93,168
94,354
95,855
96,778
97,964
98,524
99,183
100,279
101,399
102,434
103,389
104,833
105,710
106,532
107,547
108,295
109,147
110,818
111,952
112,603
113,791
114,231
115,741
116,829
117,966
118,187
119,248
120,447
121,910
122,330
123,616
124,942
125,277
126,940
127,480
128,830
129,502
130,698
131,137
132,266
133,947
134,177
135,236
136,893
137,803
138,595
139,812
140,196
141,733
142,974
143,299
144,212
145,731
146,171
147,992
148,285
149,394
150,151
151,260
152,743
153,736
154,359
155,985
156,167
157,174
158,493
159,159
160,325
161,763
162,931
163,551
164,755
165,737
166,877
167,706
168,719
169,368
170,606
171,629
172,574
173,905
174,908
175,352
176,305
177,821
178,904
179,711
180,918
181,841
182,874
183,682
184,846
185,195
186,459
187,233
188,994
189,346
190,843
191,251
192,294
193,287
194,552
195,735
196,286
197,527
198,544
199,484
200,715
201,326
202,445
203,866
204,949
205,343
206,380
207,613
208,792
209,786
210,671
211,153
212,674
213,531
214,184
215,684
216,253
217,155
218,483
219,489
