,lead
0,951
1,742
2,945
3,223
4,562
5,867
6,856
7,544
8,123
9,230
10,410
11,180
12,780
13,204
14,422
15,613
16,881
17,665
18,592
19,130
20,137
21,531
22,918
23,233
24,628
25,704
26,782
27,743
28,789
29,882
30,199
31,378
32,212
33,811
34,829
35,392
36,128
37,637
38,440
39,830
40,507
41,607
42,885
43,723
44,871
45,604
46,161
47,279
48,976
49,689
50,236
51,860
52,465
53,479
54,182
55,374
56,550
57,240
58,904
59,963
60,591
61,975
62,804
63,903
64,303
65,519
66,730
67,874
68,844
69,736
70,934
71,525
72,147
73,113
74,148
75,993
76,755
77,366
78,258
79,816
80,894
81,545
82,451
83,548
84,670
85,589
86,959
87,163
88,529
89,499
90,304
91,687
92,841
93,768
94,902
95,561
96,960
97,391
98,640
99,369
100,533
101,892
102,191
103,721
104,965
105,645
106,480
107,413
108,638
109,985
110,879
111,175
112,201
113,537
114,319
115,336
116,734
117,320
118,344
119,162
120,118
121,586
122,596
123,532
124,121
125,826
126,661
127,340
128,417
129,746
130,146
131,919
132,890
133,896
134,875
135,947
136,188
137,395
138,649
139,888
140,950
141,314
142,971
143,231
144,953
145,462
146,423
147,853
148,478
149,815
150,843
151,389
152,483
153,424
154,124
155,347
156,763
157,606
158,732
159,115
160,658
161,323
162,667
163,194
164,495
165,464
166,553
167,209
168,310
169,635
170,298
171,145
172,141
173,266
174,399
175,796
176,940
177,986
178,373
179,620
180,870
181,385
182,572
183,653
184,798
185,459
186,523
187,838
188,408
189,822
190,307
191,978
192,597
193,398
194,698
195,449
196,601
197,713
198,729
199,920
200,705
201,655
202,627
203,397
204,855
205,863
206,581
207,706
208,384
209,295
210,159
211,334
212,211
213,810
214,345
215,447
216,906
217,411
218,880
219,999
220,675
221,700
222,634
223,239
224,679
225,864
226,996
227,893
228,694
229,812
230,849
231,564
232,264
233,429
234,418
235,470
236,941
237,695
238,427
239,797
240,534
241,563
242,273
243,813
244,851
245,715
246,738
247,250
248,556
249,775
250,288
251,186
252,200
253,663
254,576
255,306
256,868
257,942
258,677
259,991
260,450
261,824
262,206
263,376
264,777
265,696
266,383
267,343
268,215
269,987
270,781
271,390
272,514
273,922
274,887
275,872
276,420
277,932
278,286
279,414
280,720
281,914
282,517
283,936
284,921
285,900
286,973
287,666
288,393
289,372
290,869
291,101
292,339
293,718
294,172
295,583
296,453
297,219
298,357
299,691
