,lead
0,7-5559
1,2-3811
2,1-5672
3,2-4797
4,3-6327
5,1-7043
6,1-8904
7,1-8752
8,5-2427
9,5-7504
10,7-4670
11,1-2298
12,3-5408
13,2-5111
14,7-6337
15,3-6309
16,2-9908
17,8-2678
18,8-6668
19,4-5626
20,7-8978
21,4-0006
22,4-9978
23,3-3791
24,2-1637
25,2-8472
26,8-4793
27,8-1083
28,4-7748
29,7-0511
30,6-4063
31,3-8873
32,3-1649
33,8-3571
34,7-2681
35,3-1137
36,6-8443
37,4-1562
38,7-7779
39,8-0440
40,4-3790
41,7-4266
42,1-5814
43,6-3685
44,4-6213
45,5-6200
46,7-0700
47,6-6727
48,2-0663
49,7-0649
50,8-7336
51,6-8180
52,7-1731
53,7-8941
54,2-4177
55,1-2050
56,2-7739
57,3-3504
58,1-4598
59,4-5947
60,2-3743
61,7-9861
62,5-9459
63,1-5736
64,7-9423
65,3-9564
66,1-1357
67,5-3318
68,5-2180
69,5-8109
70,8-9000
71,2-6297
72,4-8260
73,2-7784
74,5-5940
75,6-8532
76,6-0978
77,1-1033
78,1-9112
79,8-3413
80,3-9532
81,7-3039
82,1-6732
83,2-7909
84,2-4546
85,3-0933
86,3-8927
87,2-9717
88,2-9054
89,2-1929
90,4-8533
91,2-5793
92,2-9652
93,1-0949
94,5-5472
95,6-7045
96,8-7612
97,1-4569
98,5-7661
99,2-7966
100,5-0385
101,5-0829
102,5-2935
103,5-7085
104,7-4583
105,2-2289
106,3-2819
107,2-3372
108,7-8552
109,7-9170
110,8-6656
111,6-6913
112,8-3961
113,7-1896
114,8-4586
115,5-5352
116,8-5958
117,6-4646
118,7-3732
119,7-3731
120,8-8117
121,4-0798
122,5-3354
123,2-3965
124,1-2306
125,6-4097
126,7-3255
127,6-7882
128,6-8657
129,4-7581
130,5-9301
131,4-6624
132,5-8730
133,6-7668
134,8-1881
135,2-3919
136,7-1020
137,8-6464
138,7-7946
139,5-1971
140,2-3000
141,1-8949
142,8-1112
143,7-2793
144,6-8138
145,5-1641
146,1-2178
147,2-2932
148,1-0720
149,6-0178
150,5-5448
151,3-7236
152,2-8747
153,2-2725
154,1-3657
155,7-9330
156,7-9427
157,5-5414
158,5-2136
159,2-6084
160,7-8905
161,7-9021
162,4-6748
163,3-3060
164,4-0233
165,2-7672
166,6-2626
167,1-0873
168,3-8349
169,8-7327
170,3-0144
171,3-5082
172,6-7925
173,2-2778
174,7-6680
175,5-0247
176,4-2967
177,4-7371
178,8-9306
179,3-3280
180,7-5724
181,5-3632
182,2-1308
183,3-0722
184,7-3858
185,8-3564
186,4-5778
187,2-2688
188,1-2020
189,4-2768
190,1-9793
191,2-0131
192,4-2297
193,5-8737
194,1-9898
195,1-9967
196,6-8154
197,4-8189
198,4-3092
199,7-7086
200,6-6656
201,5-2240
202,1-8640
203,3-6278
204,8-5032
205,1-8911
206,7-9355
207,8-9290
208,6-8320
209,6-8033
210,3-8933
211,3-3685
212,6-1074
213,4-0433
214,8-5236
215,5-1798
216,1-1228
217,1-3591
218,8-8863
219,6-0378
220,8-1931
221,6-7171
222,1-0291
223,2-7752
224,2-9251
225,5-2616
226,6-0582
227,2-4246
228,5-5381
229,3-3747
230,7-5088
231,8-7633
232,6-3973
233,2-7717
234,7-5260
235,7-8433
236,2-4247
237,2-1505
238,2-0027
239,3-0526
240,7-6919
241,6-8484
242,6-6968
243,4-3742
244,3-5382
245,7-9949
246,6-7685
247,6-3837
248,2-0463
249,1-6054
250,6-9186
251,5-6303
252,2-1326
253,6-2608
254,7-8247
255,1-4195
256,7-9996
257,2-0739
258,7-5409
259,1-1258
260,3-7148
261,1-0474
262,1-9509
263,6-6670
264,2-6119
265,1-4875
266,7-8606
267,1-7828
268,4-1966
269,7-0951
270,5-8208
271,4-1217
272,7-5410
273,4-2677
274,7-1802
275,3-9217
276,2-5649
277,2-6466
278,4-3388
279,2-6054
280,1-3991
281,2-1248
282,4-1995
283,5-0986
284,6-3429
285,8-8113
286,8-5517
287,8-1550
288,6-0187
289,3-4092
290,5-8623
291,3-8937
292,6-3000
293,7-5957
294,8-2384
295,1-3742
296,4-3163
297,4-1908
298,2-8245
299,4-5247
300,2-8899
301,3-8384
302,2-9265
303,7-9679
304,2-7008
305,8-4698
306,3-9978
307,2-8434
308,8-0362
309,6-9605
310,3-8662
311,2-0654
312,2-5225
313,5-8925
314,7-6716
315,4-0447
316,5-6742
317,5-1765
318,7-8268
319,4-7794
320,2-1382
321,5-0057
322,6-1580
323,7-0815
324,1-7844
325,2-2470
326,6-8643
327,8-6318
328,8-5579
329,2-9703
330,2-6708
331,4-3530
332,4-2596
333,1-7270
334,1-7387
335,2-9694
336,6-0184
337,7-8523
338,2-6558
339,3-9841
340,2-3541
341,8-0125
342,2-0216
343,8-5979
344,1-1949
345,6-0062
346,7-2716
347,5-5575
348,3-1040
349,4-6738
350,7-6920
351,6-4522
352,8-3106
353,7-5354
354,7-5213
355,1-6522
356,3-0498
357,2-6786
358,5-5369
359,4-1808
360,6-5156
361,8-4621
362,8-9271
363,5-4928
364,7-0180
365,6-1616
366,4-4653
367,8-2360
368,7-4796
369,4-3786
370,7-8132
371,8-8015
372,2-9535
373,4-4694
374,5-2218
375,2-0170
376,3-7999
377,1-9495
378,2-6292
379,6-7634
380,4-5166
381,4-4030
382,6-4548
383,7-5198
384,4-4323
385,1-4910
386,3-8198
387,5-6540
388,5-7007
389,6-2282
390,7-8897
391,7-2327
392,2-2105
393,7-3877
394,5-7677
395,5-2132
396,1-4266
397,4-0388
398,7-3051
399,3-6734
400,7-1227
401,5-1604
402,1-3126
403,2-3428
404,3-5670
405,7-6324
406,6-8856
407,4-3460
408,6-2624
409,1-8019
410,8-3497
411,8-3778
412,6-4212
413,2-3046
414,3-6730
415,1-5394
416,8-3796
417,6-4571
418,4-1905
419,3-3483
420,6-7991
421,5-7361
422,8-8339
423,6-9367
424,8-1510
425,2-4931
426,2-2839
