,lead
0,5-7733
1,5-9515
2,8-2968
3,5-6765
4,5-0376
5,6-9896
6,4-1118
7,3-7177
8,7-7926
9,3-7053
10,8-7310
11,1-0551
12,8-6646
13,3-2498
14,8-4684
15,3-3460
16,8-1662
17,1-1063
18,5-7578
19,8-0978
20,8-9159
21,3-8666
22,7-6202
23,6-5704
24,6-6757
25,7-8966
26,4-1414
27,1-3188
28,7-9870
29,1-1498
30,8-2874
31,7-9275
32,4-5452
33,6-4844
34,3-1209
35,3-6189
36,5-0651
37,7-8811
38,5-4209
39,6-4811
40,6-8197
41,4-6271
42,6-4209
43,3-0404
44,3-4182
45,4-2065
46,6-8564
47,1-5573
48,6-0363
49,3-6504
50,3-9510
51,6-6591
52,7-1264
53,1-0154
54,6-2938
55,1-9704
56,2-6075
57,1-8942
58,1-1489
59,2-8039
60,3-5291
61,5-9875
62,3-2338
63,8-4708
64,2-8623
65,5-6604
66,5-0036
67,1-0942
68,5-5139
69,1-4878
70,5-5811
71,6-8044
72,8-4205
73,6-4903
74,6-6940
75,5-2674
76,1-7034
77,2-6372
78,2-0704
79,2-5454
80,6-1673
81,6-3034
82,1-9210
83,7-2033
84,4-8008
85,4-0766
86,3-0668
87,2-9002
88,5-4821
89,5-6883
90,4-4432
91,3-9097
92,5-8363
93,2-6510
94,8-1009
95,5-8912
96,7-5647
97,4-7697
98,5-3706
99,2-1374
100,7-8284
101,5-0193
102,2-7882
103,8-8204
104,7-7537
105,7-9462
106,6-8330
107,1-2522
108,8-6645
109,7-1307
110,7-4309
111,4-5725
112,3-7114
113,2-1222
114,2-7742
115,5-1156
116,6-0791
117,2-5738
118,4-0980
119,2-5213
120,8-6868
121,6-5592
122,5-6097
123,6-7431
124,8-6847
125,4-6023
126,7-9217
127,1-0748
128,1-7598
129,4-4850
130,2-9478
131,1-1271
132,6-8606
133,8-5642
134,6-8801
135,1-9171
136,5-8346
137,8-3161
138,2-4053
139,3-0908
140,3-7491
141,1-1245
142,5-7150
143,1-8121
144,3-6992
145,8-3022
146,7-0997
147,2-3473
148,1-2611
149,3-2476
150,2-9394
151,3-0382
152,8-7878
153,2-4569
154,5-8180
155,5-7961
156,4-2824
157,1-3057
158,7-7498
159,5-1694
160,8-9744
161,2-3424
162,8-0048
163,7-2526
164,5-6657
165,3-2021
166,1-1684
167,6-6514
168,6-7334
169,5-5454
170,7-9227
171,8-8173
172,1-3714
173,6-5219
174,8-9129
175,4-9242
176,8-7298
177,5-0741
178,2-6848
179,1-5873
180,6-0419
181,6-7345
182,3-8493
183,4-7800
184,2-9440
185,8-6760
186,5-0538
187,6-4766
188,6-7466
189,1-9951
190,4-2159
191,3-1385
192,7-0089
193,3-1877
194,1-4286
195,7-1860
196,1-7624
197,3-7121
198,2-0533
199,4-9552
200,5-3880
201,8-2491
202,4-3830
203,4-3683
204,4-6451
205,2-9859
206,3-9624
207,6-1074
208,6-1255
209,7-5275
210,2-2920
211,7-5302
212,8-3896
213,8-1277
214,6-2703
215,5-3819
216,4-4207
217,7-2427
218,3-2921
219,4-8615
220,5-7206
221,3-7462
222,8-5633
223,1-2421
224,6-9638
225,5-8033
226,8-6589
227,4-3862
228,4-9175
229,5-7169
230,3-9148
231,6-9686
232,3-3049
233,5-2224
234,2-4019
235,5-9396
236,7-0380
237,4-5674
238,5-9233
239,4-4409
240,7-7833
241,7-9137
242,8-8895
243,5-0249
244,1-2634
245,4-9115
246,1-9152
247,6-6917
248,3-8612
249,8-7572
250,3-3551
251,6-5061
252,2-6386
253,4-3881
254,2-8076
255,5-3459
256,3-7182
257,1-7184
258,5-3046
259,5-2696
260,2-5421
261,3-5436
262,8-4851
263,8-5372
264,7-6905
265,3-5668
266,7-1187
267,6-9407
268,2-9903
269,6-2901
270,6-9746
271,5-1789
272,3-5259
