,lead
0,3-1572
1,3-2875
2,4-6230
3,1-4002
4,7-1581
5,3-6704
6,7-0787
7,7-3411
8,1-5304
9,3-1278
10,1-0796
11,6-3966
12,4-8327
13,5-1999
14,6-7082
15,8-2863
16,3-5728
17,5-6188
18,4-3146
19,4-0854
20,6-0157
21,8-5425
22,4-6854
23,2-4348
24,8-5947
25,7-8093
26,6-3943
27,2-2735
28,3-5144
29,8-0031
30,4-1556
31,3-0717
32,6-3453
33,3-7624
34,2-8417
35,6-7336
36,3-5647
37,1-8137
38,7-1463
39,3-4185
40,3-0173
41,8-9241
42,6-9903
43,7-7002
44,4-1786
45,8-8361
46,5-1488
47,8-2699
48,3-8435
49,5-0075
50,7-5014
51,5-0245
52,7-4645
53,4-0543
54,6-6204
55,4-4303
56,2-7642
57,3-9006
58,6-1953
59,2-6619
60,5-6849
61,5-4802
62,2-0117
63,2-8461
64,6-2716
65,2-4940
66,7-9151
67,4-8534
68,8-8120
69,6-2888
70,8-9870
71,3-5696
72,1-3446
73,3-9786
74,2-1109
75,1-1577
76,8-4890
77,6-2649
78,6-8158
79,4-4925
80,1-2425
81,3-1647
82,7-2989
83,8-3636
84,8-7705
85,5-3124
86,4-1286
87,1-2770
88,5-2647
89,3-7190
90,8-9682
91,5-6870
92,8-3579
93,1-0207
94,4-0596
95,6-9059
96,1-3714
97,6-8735
98,2-9896
99,8-0331
100,7-5834
101,4-9368
102,2-7310
103,3-1152
104,5-7822
105,1-4966
106,8-8745
107,7-0005
108,7-6957
109,6-9313
110,4-1699
111,7-6112
112,7-3559
113,2-4909
114,2-8263
115,5-9164
116,5-9827
117,8-6646
118,3-8702
119,4-6298
120,8-6505
121,4-8341
122,6-6810
123,4-8651
124,6-6405
125,4-2079
126,4-1785
127,7-3971
128,2-1957
129,7-8642
130,5-6130
131,8-9029
132,3-6738
133,5-9670
134,2-3831
135,6-7759
136,7-6180
137,3-1530
138,4-3748
139,7-1306
140,2-2954
141,3-6089
142,1-2581
143,6-8865
144,4-2836
145,6-4308
146,6-7212
147,1-0722
148,5-7214
149,7-5343
150,4-0851
151,5-3987
152,6-4213
153,2-0286
154,7-8386
155,5-4733
156,2-1387
157,5-8464
158,7-2339
159,6-7903
160,8-9633
161,5-7329
162,8-6491
163,5-5635
164,2-2078
165,2-7598
166,1-1645
167,7-7951
168,5-7943
169,7-1762
170,5-9308
171,4-6287
172,8-4533
173,2-6168
174,6-2224
175,2-3551
176,8-5407
177,2-9006
178,2-2620
179,4-1522
180,1-7962
181,3-9445
182,6-8421
183,3-1989
184,8-4099
185,3-6062
186,6-6781
187,3-8107
188,8-8082
