,lead
0,8-3533
1,7-7742
2,1-3535
3,3-1177
4,7-8357
5,6-5983
6,3-8989
7,1-3580
8,6-2541
9,2-5999
10,3-3669
11,3-4912
12,3-5590
13,3-5726
14,6-3839
15,2-0065
16,7-7216
17,3-3437
18,2-8047
19,5-6516
20,7-1214
21,2-5474
22,3-4976
23,7-7759
24,7-0326
25,6-8259
26,8-3603
27,2-5408
28,6-1288
29,7-1495
30,6-9359
31,8-1304
32,1-9761
33,5-6883
34,4-9418
35,2-1300
36,3-5473
37,5-8496
38,2-4174
39,3-1010
40,8-9391
41,1-2000
42,6-0415
43,4-7836
44,6-5475
45,7-8255
46,8-5180
47,3-6411
48,3-9448
49,4-0939
50,5-2057
51,8-5672
52,2-6364
53,7-7821
54,1-9912
55,7-0690
56,4-0385
57,6-1221
58,2-5191
59,4-7026
60,4-7599
61,4-3844
62,2-6304
63,1-3401
64,3-6821
65,1-1399
66,5-6044
67,7-9856
68,5-9991
69,7-9098
70,6-0844
71,6-6759
72,6-3703
73,5-3891
74,3-8612
75,8-9223
76,6-4939
77,4-4383
78,6-1044
79,4-9203
80,4-8399
81,7-0110
82,3-2831
83,5-0882
84,2-0654
85,5-1909
86,4-0018
87,3-5480
88,3-6624
89,3-9506
90,3-8711
91,3-5001
92,6-2059
93,7-3245
94,7-4791
95,3-4274
96,4-1380
97,4-5582
98,4-1363
99,7-6159
100,4-5644
101,5-5102
102,8-6861
103,7-3715
104,6-2218
105,8-2182
106,8-0362
107,2-3338
108,5-7541
109,7-5729
110,8-2622
111,2-3174
112,7-2775
113,3-1473
114,5-3813
115,7-3569
116,2-0965
117,3-4930
118,2-5752
119,3-4985
120,3-8223
121,4-3359
122,3-9326
123,3-8990
124,2-1329
125,2-0056
126,8-2905
127,4-5429
128,5-4686
129,2-0840
130,4-1691
131,7-7922
132,4-6723
133,5-8116
134,4-8285
135,3-0119
136,5-4857
137,1-0342
138,3-5904
139,5-4220
140,7-5124
141,7-1013
142,8-1909
143,4-0034
144,1-3093
145,3-5038
146,8-3995
147,3-4284
148,8-8160
149,3-4250
150,7-0288
151,8-4454
152,5-9150
153,2-3187
154,6-9440
155,5-2162
156,4-7725
157,6-3404
158,5-0236
159,6-7144
160,2-7529
161,8-8406
162,8-7171
163,3-7427
164,6-4577
165,3-4625
166,2-9108
167,6-4734
168,2-2944
169,1-2474
170,6-1879
171,7-2978
172,1-3057
173,8-3265
174,3-5040
175,8-8194
176,5-6781
177,2-0326
178,6-7872
179,2-2441
180,2-9583
181,3-3086
182,1-3293
183,5-3549
184,5-3701
185,3-2868
186,7-8098
187,4-9668
188,6-2457
189,5-7013
190,3-2549
191,2-4951
192,7-6088
193,4-6970
194,5-7271
195,8-6879
196,3-5894
197,1-1967
198,6-5943
199,7-5429
200,7-4338
201,7-2431
202,3-1378
203,4-1974
204,3-8239
205,7-7139
206,3-3423
207,1-0465
208,7-1234
209,6-0286
210,6-7351
211,1-3204
212,1-8092
213,4-8948
214,3-6525
215,1-9531
216,6-5070
217,6-2894
218,8-7424
219,8-2490
220,2-9674
221,1-2922
222,7-4941
223,3-9080
224,7-2213
225,1-8260
226,4-3928
227,4-5566
228,5-1857
229,8-5223
230,2-1414
231,5-6650
232,2-3646
233,5-6845
234,6-1787
235,3-7368
236,6-4075
237,1-8753
238,1-3344
239,8-4854
240,3-1959
241,3-5169
242,8-9352
243,4-3575
244,1-5408
245,6-3497
246,4-1404
247,8-2181
248,3-4621
249,4-0864
250,4-8882
251,2-9333
252,5-0455
253,4-0098
254,1-6616
255,1-7771
256,4-8740
257,5-5521
258,8-5789
259,4-4418
260,6-9873
261,8-2973
262,7-1752
263,7-9048
264,8-4820
265,7-8513
266,3-1463
267,4-7966
268,3-9393
269,8-2744
270,6-6082
271,2-9546
272,6-0803
273,1-1501
274,2-1547
275,7-2395
276,4-6651
277,8-3642
278,4-2275
279,5-0457
280,7-9920
281,5-1196
282,5-6225
283,3-8465
284,7-5277
285,5-1089
286,1-1540
287,7-8399
288,7-0823
289,8-6753
290,4-9777
291,7-3341
292,1-4527
293,3-1883
294,4-0691
295,8-0885
296,4-3366
297,5-6503
298,4-8098
299,4-4038
300,1-9643
301,3-9363
302,3-0727
303,4-1536
304,4-4675
305,6-7954
306,2-4217
307,3-4309
308,8-4587
309,7-2016
310,6-4545
311,3-3960
312,3-8347
313,1-7223
314,4-9973
315,6-2807
316,4-3056
317,2-4041
318,3-3458
319,2-1365
320,8-9785
321,7-5571
322,7-6549
323,3-3803
324,3-9588
325,2-0047
326,2-8006
327,2-5137
328,8-5954
329,1-6901
330,5-9574
331,5-2661
332,1-4826
333,4-1590
334,5-9094
335,7-1420
336,3-9778
337,4-3118
338,1-5920
339,4-0506
340,6-4183
341,6-4788
342,3-1771
343,5-6331
344,5-2502
345,7-1905
346,3-4997
347,3-7778
348,4-1285
349,6-4024
350,4-1631
351,7-5500
352,4-9539
353,6-5267
354,1-4315
355,2-3820
356,1-5059
357,8-7529
358,6-6145
359,4-8819
360,3-9619
361,7-8473
362,2-4530
363,3-5950
364,3-0173
365,2-9099
366,4-7192
367,8-3079
368,2-9549
369,2-9069
370,7-1159
371,4-0488
372,7-7771
373,8-7308
374,3-7003
375,5-5660
376,7-3160
377,4-9280
378,4-0533
379,8-5209
380,6-5786
381,7-7602
382,5-7725
383,4-9936
384,8-0998
385,3-6230
386,1-3892
387,2-4958
388,2-7749
389,1-2240
390,2-8949
391,3-0310
392,8-8375
393,3-5380
394,1-5040
395,6-6160
396,8-8815
397,4-7060
398,6-3446
399,1-8129
400,6-5931
401,5-0052
402,4-3291
403,3-2719
404,5-5251
405,4-2886
406,4-0669
407,3-8547
408,8-3208
409,5-0425
410,1-5326
411,1-4248
412,7-8558
413,3-9242
414,4-7996
415,7-8884
416,4-9749
417,4-4641
418,1-4015
419,2-8255
420,5-1555
421,3-2950
422,2-0397
423,3-7789
424,2-5839
425,2-1974
426,1-0736
427,4-7482
428,1-7872
429,6-0260
430,4-0560
431,7-0400
432,3-7504
433,5-7303
434,3-5164
435,5-7548
436,8-8964
437,8-6929
438,3-3892
439,7-3988
440,3-6622
441,6-5105
442,1-2167
443,5-9603
444,3-9761
445,5-6117
446,1-7687
447,4-8005
448,6-7977
449,3-0978
450,1-0964
451,5-5284
452,4-0132
453,6-2165
454,8-1074
455,1-4749
456,1-8730
457,7-7264
458,8-1288
459,7-4263
460,6-8262
461,2-8748
462,8-9571
463,3-7900
464,2-3262
465,2-2952
466,6-7541
467,1-1976
468,3-2567
469,5-7221
470,7-6407
471,2-9909
472,4-1304
473,8-1799
474,1-2286
475,5-4970
476,5-6742
477,5-1267
478,7-0738
479,2-0499
480,7-9341
481,1-3642
482,1-3034
483,8-3914
484,3-7633
485,1-7605
486,5-0665
487,5-2331
488,1-2177
489,5-0662
490,7-8124
491,1-3833
492,2-0785
493,2-4048
494,5-1617
495,3-0643
496,4-9192
497,7-9008
498,3-8422
499,6-8246
500,5-7457
501,7-9408
502,8-9545
503,6-2043
504,4-0797
505,7-1025
506,1-0141
507,1-9133
508,2-5889
509,7-0321
510,5-3900
511,7-1512
512,1-0906
513,2-8984
514,8-2383
515,4-9401
516,8-1307
517,4-6925
518,4-2104
519,3-0277
520,3-9701
521,8-1452
522,3-8940
523,6-9845
524,8-3321
525,2-4066
526,2-6090
527,6-5395
528,7-4499
529,1-5910
530,8-7977
531,8-6306
532,6-1695
533,3-1278
534,4-3021
535,5-3271
536,8-7357
537,8-6500
538,5-4492
539,2-9787
540,1-6869
541,3-1529
542,3-4951
543,6-5525
544,6-6534
545,8-8546
546,2-1874
547,6-6672
548,7-1103
549,1-0088
550,2-6638
551,7-4341
552,7-4698
553,8-8170
554,1-6213
555,5-0119
556,4-9577
557,5-1710
558,2-6357
559,1-8180
560,3-4865
561,3-6802
562,6-5628
563,5-4919
564,1-4856
565,6-1639
